Date,Open,High,Low,Close,Volume,Market Cap
31-03-2020,6430.61,6504.52,6374.16,6438.64,32786468812,"117,814,077,267"
30-03-2020,5925.54,6517.20,5903.23,6429.84,37101651525,"117,640,143,688"
29-03-2020,6245.62,6250.47,5920.09,5922.04,28373690931,"108,338,520,156"
28-03-2020,6467.25,6467.50,6117.84,6242.19,34885225901,"114,183,689,641"
27-03-2020,6719.39,6793.84,6466.70,6469.80,34585598367,"118,336,082,172"
26-03-2020,6675.17,6735.46,6590.96,6716.44,35319797642,"122,834,375,216"
25-03-2020,6738.72,6892.51,6536.93,6681.06,44590107888,"122,174,009,143"
24-03-2020,6436.64,6789.02,6411.07,6734.80,48221910672,"123,148,917,787"
23-03-2020,5831.37,6443.93,5785.00,6416.31,46491916000,"117,314,776,187"
22-03-2020,6185.56,6359.70,5823.71,5830.25,40099664740,"106,591,196,069"
21-03-2020,6206.52,6378.14,5932.82,6185.07,42494390880,"113,068,192,795"
20-03-2020,6191.65,6844.26,5865.78,6198.78,54442976103,"113,309,245,860"
19-03-2020,5245.42,6329.74,5236.97,6191.19,51000731797,"113,162,079,956"
18-03-2020,5227.11,5331.83,5069.34,5238.44,37878801016,"95,740,715,529"
17-03-2020,5002.58,5371.35,4981.91,5225.63,38622642935,"95,499,941,183"
16-03-2020,5385.23,5385.23,4575.36,5014.48,45368026430,"91,633,478,850"
15-03-2020,5201.07,5836.65,5169.28,5392.31,33997889639,"98,530,059,890"
14-03-2020,5573.08,5625.23,5125.07,5200.37,36154506008,"95,014,981,944"
13-03-2020,5017.83,5838.11,4106.98,5563.71,74156772075,"101,644,613,038"
03-12-2020,7913.62,7929.12,4860.35,4970.79,53980357243,"90,804,613,601"
03-11-2020,7910.09,7950.81,7642.81,7911.43,38682762605,"144,508,402,671"
03-10-2020,7922.15,8136.95,7814.76,7909.73,42213940994,"144,465,567,734"
03-09-2020,8111.15,8177.79,7690.10,7923.64,46936995808,"144,706,353,758"
03-08-2020,8908.21,8914.34,8105.25,8108.12,39973102121,"148,060,284,561"
03-07-2020,9121.60,9163.22,8890.74,8909.95,36216930370,"162,684,945,903"
03-06-2020,9078.31,9167.70,9032.08,9122.55,40826885651,"166,548,261,960"
